day_of_year,T_mean_C,T_max_C,RH_mean_pct,GHI_mean_Wm2
1,13.677213267954745,17.69936492644909,54.54759561459349,401.8935393155115
2,13.707196358620635,17.733095903448216,54.404107375898235,403.7869383542836
3,13.739488625187942,17.769424703336433,54.262277320956755,405.6800568499692
4,13.774080498761162,17.808340561106306,54.122147477075266,407.5727545570041
5,13.810961729021594,17.849831945149294,53.98375936775078,409.4648912609967
6,13.850121387264755,17.893886560672847,53.84715400036672,411.3563267891158
7,13.89154786963877,17.940491353343617,53.712371854041656,413.2469210204745
8,13.93522890058286,17.98963251315572,53.57945286763436,415.13653389651034
9,13.981151536464836,18.04129547852294,53.448436427909144,417.0250254313619
10,14.0293021694166,18.095464940593672,53.319361357864665,418.9122557222382
11,14.079666531366428,18.152124847787228,53.19226590522984,420.79808495978386
12,14.132229698266922,18.211258410550286,53.067187731130225,422.68237343843566
13,14.18697609451733,18.272848106332,52.944163898928224,424.56498156677276
14,14.243889497578913,18.336875684776277,52.82323086324038,426.4457698778576
15,14.302953042782054,18.40332217312981,52.704424459135126,428.3245990395678
16,14.364149228323612,18.472167881864063,52.58777989151404,430.20132986491825
17,14.427459920453092,18.54339241050973,52.473331724679916,432.0758233223724
18,14.492866358846058,18.616974653701813,52.36111387209457,433.94794054614187
19,14.560349162163226,18.69289280743363,52.25115958632959,435.81754284647366
20,14.629888333793577,18.771124375517772,52.143501449212856,437.68449171992506
21,14.701463267779777,18.85164617625225,52.03817136217384,439.54864885962365
22,14.775052754924175,18.934434349289695,51.93520053679055,441.4098761655137
23,14.850634989073537,19.01946436270773,51.83461948554084,443.2680357545868
24,14.928187573580686,19.106711020278272,51.736458012760906,445.1229899710962
25,15.007687527941112,19.19614846893375,51.64074520581363,446.97460139675513
26,15.089111294602588,19.287750206427912,51.54750942646937,448.8227328609164
27,15.172434745945782,19.381489089189003,51.45677830250173,450.6672474507347
28,15.257633191433797,19.47733734036302,51.36857871950089,452.508008521309
29,15.344681384928498,19.57526655804456,51.28293681290678,454.34487970580585
30,15.433553532171501,19.675247723692937,51.199877960264644,456.17772492556117
31,15.524223298427557,19.777251210731002,51.11942677370507,458.0064084001616
32,15.616663816288117,19.88124679332413,51.04160709265091,459.8307946575032
33,15.7108476936327,19.98720365533679,50.96644197675315,461.65074854382755
34,15.806747021745803,20.095090399464027,50.89395369905784,463.466135233734
35,15.904333383586824,20.204875056535176,50.82416373940606,465.27682024016786
36,16.003577862210665,20.316525094986996,50.757092778069065,467.0826694243836
37,16.104451049336436,20.43000743050349,50.69276068962021,468.88354900588183
38,16.206923054061775,20.545288435819494,50.631186537045686,470.6793255723202
39,16.31096351172015,20.662333950685166,50.572388566095796,472.46986608939665
40,16.41654159287858,20.781109291988404,50.51638419987829,474.2550379107049
41,16.52362601247306,20.901579264032193,50.46319003369554,476.0347087875613
42,16.63218503907899,21.023708168963864,50.41282183012704,477.80874687880174
43,16.742186504313892,21.14745981735313,50.36529451435851,479.57702076054886
44,16.853597812369593,21.272797538915793,50.32062216975936,481.33939943594805
45,16.966385949671057,21.39968419337994,50.278818033709385,483.09575234487227
46,17.08051749465904,21.528082181491424,50.23989449367632,484.84594937359356
47,17.195958627693603,21.657953456155305,50.2038630835451,486.5898608644227
48,17.312675141075598,21.789259533710048,50.17073448020018,488.32735762531405
49,17.430632449183165,21.921961505331062,50.140518500361694,490.0583109394367
50,17.54979559872018,22.056020048560207,50.11322409767659,491.7825925747097
51,17.67012927907369,22.191395438957905,50.088859360065456,493.50007479330185
52,17.791597832777192,22.328047561874342,50.06743150732586,495.21063036109484
53,17.914165266076715,22.465935924336303,50.04894688899302,496.91413255710887
54,18.03779525959655,22.60501966704612,50.0334109824583,498.61045518289035
55,18.162451179101467,22.74525757648915,50.02082839134608,500.2994725718609
56,18.288096086352216,22.886608097146244,50.011202844149665,501.9810595986272
57,18.414692750051145,23.029029343807537,50.004537193126424,503.65509168825
58,18.542203656874616,23.172479113983943,50.000833413452625,505.32144482547346
59,18.670591022589026,23.316914900412655,50.0000926026381,506.9799955639118
60,18.799816803247094,23.46229390365298,50.00231498020109,508.63062103519496
61,18.929842706461084,23.60857304476872,50.00749988760317,510.2731989580706
62,19.06063020274969,23.7557089780934,50.01564578844436,511.907607647463
63,19.19214053695513,23.90365810407452,50.02675026891845,513.5337260234876
64,19.324334739727156,24.05237658219305,50.04081003852821,515.151433620421
65,19.457173639070504,24.201820343954317,50.057820931060476,516.7606105956253
66,19.5906178719524,24.35194510594645,50.07777790582068,518.3611377384259
67,19.724627895966677,24.50270638296251,50.100675049126465,519.9528964789432
68,19.859164001051045,24.654059501182427,50.12650557606014,521.5357688968763
69,19.99418632125405,24.805959611410803,50.15526183247908,523.1096377302389
70,20.129654846548178,24.9583617023667,50.18693529728391,524.6743863840459
71,20.26552943468575,25.11122061402147,50.22151658494343,526.2298989389515
72,20.401769823093883,25.264491050980617,50.2589954482758,527.7760601598362
73,20.53833564080518,25.418127595905826,50.29936078148493,529.3127555043441
74,20.67518642042052,25.572084722973088,50.34260062345145,530.839871131368
75,20.812281610100428,25.72631681136298,50.388702161276996,532.3572939094829
76,20.94958058558144,25.880778158779123,50.437651734080944,533.8649114253277
77,21.08704266221397,26.035422994990718,50.489434837048464,535.3626119919321
78,21.224627107018033,26.19020549539529,50.544036125728574,536.8502846569909
79,21.362293150753324,26.34507979459749,50.601439420581045,538.3278192110836
80,21.5,26.5,50.66162771177075,539.795106195839
81,21.637706849246676,26.65492020540251,50.724583164208035,541.252036912044
82,21.775372892981967,26.80979450460471,50.790287122833654,542.6985034276959
83,21.91295733778603,26.964577005009282,50.858720118146664,544.1343985859987
84,22.05041941441856,27.119221841220877,50.92986187197364,545.5596160133013
85,22.187718389899572,27.27368318863702,51.00369130347757,546.9740501269773
86,22.32481357957948,27.427915277026912,51.080186535404515,548.377596143248
87,22.46166435919482,27.581872404094174,51.15932490056636,549.7701500849436
88,22.598230176906117,27.735508949019383,51.24108294855757,551.1516087892068
89,22.73447056531425,27.88877938597853,51.32543645270403,552.5218699151351
90,22.870345153451822,28.0416382976333,51.41236041724197,553.8808319513623
91,23.00581367874595,28.194040388589197,51.50182908472472,555.2283942235791
92,23.140835998948955,28.345940498817573,51.593815943655216,556.5644569019904
93,23.275372104033323,28.49729361703749,51.68829373634192,557.8889210087116
94,23.4093821280476,28.64805489405355,51.78523446697586,559.2016884251007
95,23.542826360929496,28.798179656045683,51.88460940992639,560.5026618990273
96,23.675665260272844,28.94762341780695,51.986389118253236,561.7917450520767
97,23.80785946304487,29.09634189592548,52.09054343243223,563.0688423866911
98,23.93936979725031,29.2442910219066,52.197041489292246,564.3338592932421
99,24.070157293538916,29.39142695523128,52.30585173116062,565.5867020570419
100,24.200183196752906,29.53770609634702,52.41694191521437,566.8272778652838
101,24.329408977410974,29.683085099587345,52.53027912303445,568.0554948139194
102,24.457796343125384,29.827520886016057,52.645829770360145,569.2712619144663
103,24.585307249948855,29.970970656192463,52.763559617040876,570.474489100749
104,24.711903913647784,30.113391902853756,52.883433777182255,571.6650872355706
105,24.837548820898533,30.25474242351085,53.00541672948353,572.8429681173172
106,24.96220474040345,30.39498033295388,53.12947232776333,574.0080444864909
107,25.085834733923285,30.534064075663697,53.25556381167055,575.1602300321754
108,25.208402167222808,30.671952438125658,53.38365381757722,576.2994393984288
109,25.32987072092631,30.808604561042095,53.51370438965019,577.4255881906079
110,25.45020440127982,30.943979951439793,53.64567699109823,578.5385929816194
111,25.569367550816835,31.078038494668938,53.77953251559133,579.6383713181016
112,25.687324858924402,31.210740466289952,53.91523129884874,580.7248417265312
113,25.804041372306397,31.342046543844695,54.05273313039237,581.7979237192601
114,25.91948250534096,31.471917818508576,54.19199726546199,582.8575378004778
115,26.033614050328943,31.60031580662006,54.33298243708882,583.9036054721001
116,26.146402187630407,31.727202461084207,54.47564686832381,584.9360492395851
117,26.257813495686108,31.85254018264687,54.619948284617,585.9547926176739
118,26.36781496092101,31.976291831036136,54.765843926344495,586.9597601360562
119,26.47637398752694,32.09842073596781,54.91329056147896,587.9508773449619
120,26.58345840712142,32.2188907080116,55.062244498400226,588.9280708206766
121,26.68903648827985,32.337666049314834,55.21266159884212,589.8912681709805
122,26.793076945938225,32.454711564180506,55.36449729097149,590.8403980405113
123,26.895548950663564,32.569992569496506,55.51770658259589,591.7753901160509
124,26.996422137789335,32.683474905013,55.67224407449569,592.6961751317334
125,27.095666616413176,32.79512494346483,55.82806397387683,593.6026848741778
126,27.193252978254197,32.90490960053597,55.98512010794027,594.49485218754
127,27.2891523063673,33.012796344663215,56.14336593756393,595.3726109784885
128,27.383336183711883,33.11875320667587,56.30275457109327,596.2358962211007
129,27.475776701572443,33.222748789269,56.46323877823628,597.08464396168
130,27.5664464678285,33.32475227630706,56.624771004058864,597.9187913234935
131,27.6553186150715,33.42473344195544,56.787303383076356,598.7382765114305
132,27.742366808566203,33.52266265963698,56.95078775343711,599.5430388165798
133,27.827565254054218,33.618510910811,57.11517567119391,600.3330186207276
134,27.91088870539741,33.71224979357209,57.28041842465895,601.1081574007734
135,27.992312472058888,33.80385153106625,57.44646704883813,601.8683977330666
136,28.071812426419314,33.89328897972173,57.6132723399405,602.6136832976596
137,28.149365010926463,33.98053563729227,57.780784869958346,603.3439588824805
138,28.224947245075825,34.065565650710305,57.948955001313806,604.0591703874233
139,28.29853673222022,34.14835382374775,58.11773290156756,604.7592648283555
140,28.370111666206423,34.22887562448223,58.287068558185226,605.4441903410435
141,28.439650837836773,34.30710719256637,58.456911793357186,606.1138961849949
142,28.507133641153942,34.38302534629818,58.627212278867354,606.768332747217
143,28.572540079546908,34.456607589490275,58.79791955100647,607.4074515458926
144,28.635850771676388,34.52783211813593,58.96898302552565,608.0312052339714
145,28.697046957217946,34.59667782687019,59.140352012625534,608.6395476026778
146,28.756110502421087,34.663124315223726,59.3119757319768,609.2324335849338
147,28.81302390548267,34.727151893668,59.48380332776746,609.8098192586981
148,28.867770301733078,34.788741589449714,59.65578388377254,610.3716618502192
149,28.920333468633572,34.84787515221277,59.82786643844165,610.9179197372052
150,28.9706978305834,34.90453505940633,60.0,611.4485524519062
151,29.018848463535164,34.95870452147706,60.17213356155835,611.9635206841127
152,29.06477109941714,35.01036748684428,60.34421611622746,612.4627862840681
153,29.10845213036123,35.05950864665638,60.51619667223254,612.9463122652942
154,29.149878612735243,35.10611343932715,60.6880242680232,613.4140628073316
155,29.189038270978408,35.15016805485071,60.859647987374466,613.8660032583934
156,29.225919501238838,35.191659438893694,61.03101697447435,614.3021001379325
157,29.260511374812058,35.23057529666357,61.20208044899353,614.722321139121
158,29.292803641379365,35.266904096551784,61.372787721132646,615.1266351312445
159,29.322786732045255,35.30063507355091,61.543088206642814,615.5150121620078
160,29.350451762172874,35.331758232444486,61.712931441814774,615.887423459754
161,29.375790534016737,35.36026435076883,61.88226709843244,616.2438414355961
162,29.39879553915189,35.386144981545876,62.051044998686194,616.5842396854603
163,29.419459960698823,35.409392455786175,62.219215130041654,616.9085929920427
164,29.437777675343458,35.429999884761386,62.3867276600595,617.216877326677
165,29.453743255151615,35.447961162045566,62.55353295116187,617.5090698511149
166,29.467351969177432,35.46327096532461,62.71958157534105,617.7851489192177
167,29.478599784865246,35.4759247579734,62.88482432880609,618.04509407856
168,29.487483369244515,35.48591879040008,63.04921224656289,618.2888860719451
169,29.494000089917467,35.49325010115715,63.212696616923644,618.5165068388312
170,29.498148015839128,35.49791651781902,63.375228995941136,618.7279395166695
171,29.49992591788952,35.49991665762571,63.53676122176372,618.9231684421535
172,29.4993332692379,35.49924992789264,63.69724542890673,619.1021791523794
173,29.49637024549886,35.495916526186214,63.85663406243607,619.2649583859175
174,29.491037724680268,35.4899174402653,64.01487989205972,619.4114940837942
175,29.48333728692314,35.48125444778853,64.17193602612316,619.5417753903863
176,29.47327121403336,35.469930115787534,64.3277559255043,619.6557926542241
177,29.460842488805582,35.455947799906276,64.48229341740411,619.7535374287074
178,29.446054794139314,35.439311643406725,64.63550270902851,619.8350024727304
179,29.428912511947637,35.420026575941094,64.78733840115788,619.9001817512186
180,29.409420721858723,35.398098312091065,64.93775550159977,619.949070435576
181,29.387585199710642,35.373533349674474,65.08670943852104,619.9816649040423
182,29.363412415839857,35.34633896781984,65.2341560736555,619.9979627419618
183,29.33690953316392,35.31652322480941,65.38005171538299,619.9979627419618
184,29.308084405058946,35.284094955691316,65.5243531316762,619.9816649040423
185,29.276945573032492,35.249063769661554,65.66701756291118,619.949070435576
186,29.243502264192514,35.21144004721658,65.80800273453801,619.9001817512186
187,29.20776438851319,35.171234937077344,65.94726686960763,619.8350024727304
188,29.169742535898372,35.12846035288567,66.08476870115126,619.7535374287074
189,29.129447973043565,35.08312896967401,66.22046748440867,619.6557926542241
190,29.08689264009737,35.03525422010954,66.35432300890177,619.5417753903863
191,29.042089147123367,34.98485029051379,66.48629561034981,619.4114940837942
192,28.995050770363452,34.931932116658885,66.61634618242279,619.2649583859175
193,28.945791448303837,34.87651537934181,66.74443618832946,619.1021791523794
194,28.894325777544747,34.81861649973784,66.87052767223668,618.9231684421535
195,28.84066900847515,34.75825263453454,66.99458327051647,618.7279395166695
196,28.78483704075373,34.69544167084795,67.11656622281775,618.5165068388312
197,28.726846418597475,34.63020222092216,67.23644038295913,618.2888860719451
198,28.666714325879273,34.56255361661418,67.35417022963985,618.04509407856
199,28.604458581035946,34.492515903665435,67.46972087696555,617.7851489192177
200,28.540097631788285,34.42010983576182,67.58305808478562,617.5090698511149
201,28.473650549674574,34.345356868383895,67.69414826883937,617.216877326677
202,28.40513702439929,34.2682791524492,67.80295851070775,616.9085929920427
203,28.334577357998615,34.18889952774845,67.90945656756777,616.5842396854603
204,28.26199245882451,34.10724151617757,68.01361088174677,616.2438414355961
205,28.187403835349098,34.023329314767736,68.11539059007362,615.887423459754
206,28.110833589791277,33.93718778851519,68.21476553302415,615.5150121620078
207,28.032304411567328,33.84884246301324,68.31170626365808,615.1266351312445
208,27.951839570567557,33.758319516888506,68.40618405634478,614.722321139121
209,27.86946291026093,33.66564577404354,68.49817091527528,614.3021001379325
210,27.785198840629718,33.570848695708435,68.58763958275803,613.8660032583934
